Player,Squad,Rating,user,player,rating,Nation
Jonathan Ikone,Paris S-G,2.67719298245614,72,811,2.677193,fr
Jonathan Ikone,Paris S-G,2.67719298245614,72,811,2.677193,fr
Denso Kasius,Bologna,3.2964601769911503,66,350,3.2964602,nl
Dominik Szoboszlai,RB Leipzig,3.5927272727272728,62,1793,3.5927272000000006,hu
António Xavier,Marítimo,2.078817733990148,103,2674,2.0788178,pt
Pierre Sagna,Moreirense,2.48471615720524,23,2617,2.4847162,sn
Yoann Touzghar,Troyes,2.192546583850932,35,2234,2.1925466,tn
Ander Herrera,Athletic Club,3.391534391534392,87,1726,3.3915343,es
José Ángel,Roma,3.015686274509804,60,1687,3.0156862999999996,es
Diego Lainez,Braga,2.257142857142857,22,301,2.2571428,mx
Ike Ugbo,Troyes,2.4223602484472053,35,2235,2.4223602000000004,ca
Joško Gvardiol,RB Leipzig,3.2654545454545456,62,1775,3.2654544999999997,hr
Habib Diallo,Strasbourg,2.4732142857142856,30,2117,2.4732144,sn
Robert Skov,Hoffenheim,2.844444444444445,12,1030,2.8444445,dk
Álex Moreno,Elche,3.09,99,304,3.09,es
Vitolo,Getafe,2.3016759776536317,8,903,2.301676,es
Lucas Ocampos,Sevilla,2.75390625,85,2055,2.7539062000000003,ar
Dele Alli,Everton,2.8588957055214723,73,774,2.8588958,en
Dele Alli,Everton,2.8588957055214723,73,774,2.8588958,en
Abdulwahab Ibrahim,Famalicão,1.175824175824176,1,2658,1.1758242,gh
Tommaso Pobega,Milan,2.7849056603773583,95,2177,2.7849057,it
Moussa Niakhate,Mainz 05,2.6809523809523808,41,1371,2.6809523,fr
Nico Schulz,Dortmund,3.028368794326241,48,668,3.0283687,de
Andrés Andrade Cedeño,Arminia,2.668918918918919,46,56,2.6689187999999997,pa
Rick Karsdorp,Roma,2.7333333333333334,60,1911,2.7333333,nl
Fransérgio,Braga,2.3285714285714287,22,377,2.3285713,br
Fransérgio,Braga,2.3285714285714287,22,377,2.3285713,br
Marco Asensio,Mallorca,2.8670212765957452,5,1796,2.8670212999999998,es
Rodrigo Andrad,Marítimo,2.118226600985221,103,2708,2.1182265,pt
Gonçalo Esteves,Estoril,2.371859296482412,106,2485,2.3718592999999997,pt
Rúben Semedo,Sporting CP,1.4215384615384616,63,2468,1.4215385,pt
Andy Delort,Metz,2.2916666666666665,45,1559,2.2916667,dz
Andy Delort,Metz,2.2916666666666665,45,1559,2.2916667,dz
Christoph Kramer,Bochum,2.2962962962962963,54,1347,2.2962964,de
Bryan,Tottenham,3.177536231884058,31,2188,3.1775362,es
Bryan,Tottenham,3.177536231884058,31,2188,3.1775362,es
Oliver Skipp,Norwich City,2.739130434782609,68,2203,2.7391305,en
Matheus Cunha,Atlético Madrid,2.1201716738197427,21,182,2.1201717999999996,br
Matheus Cunha,Atlético Madrid,2.1201716738197427,21,182,2.1201717999999996,br
Ross Barkley,Everton,2.6809815950920246,73,582,2.6809816000000004,en
Emerson Palmieri,Chelsea,1.2282282282282282,19,595,1.2282282,it
Emerson Palmieri,Chelsea,1.2282282282282282,19,595,1.2282282,it
Dani Raba,Villarreal,1.6370656370656371,15,926,1.6370656000000001,es
Dani Raba,Villarreal,1.6370656370656371,15,926,1.6370656000000001,es
Dylan Bronn,Metz,2.5625,45,1477,2.5625,tn
Andriy Yarmolenko,Dortmund,2.3617021276595747,48,2400,2.3617022,ua
Franck Ribéry,Marseille,2.915322580645161,58,1988,2.9153225,fr
Maxime Gonalons,Lyon,2.46319018404908,59,916,2.46319,fr
Antoine Griezmann,Atlético Madrid,2.351931330472103,21,186,2.3519313,fr
Antoine Griezmann,Atlético Madrid,2.351931330472103,21,186,2.3519313,fr
Cristiano Ronaldo,Sporting CP,2.732307692307692,63,1075,2.7323077000000002,pt
Cristiano Ronaldo,Sporting CP,2.732307692307692,63,1075,2.7323077000000002,pt
Silvan Widmer,Udinese,2.738396624472574,40,1380,2.7383966,ch
Oussama Idrissi,Cádiz,2.172185430463576,26,515,2.1721854,ma
Oussama Idrissi,Cádiz,2.172185430463576,26,515,2.1721854,ma
Reinildo Mandava,B-SAD,2.623076923076923,90,194,2.623077,mz
Reinildo Mandava,B-SAD,2.623076923076923,90,194,2.623077,mz
Lucas Boyé,Celta Vigo,2.4009216589861757,10,696,2.4009216,ar
Davide Faraoni,Inter,2.8442367601246112,64,967,2.8442369,it
Sergio Canales,Real Madrid,3.34375,11,290,3.34375,es
Tobias Strobl,Hoffenheim,2.053333333333333,12,224,2.0533333,de
Bouna Sarr,Marseille,2.407258064516129,58,278,2.407258,sn
Romelu Lukaku,Inter,2.1962616822429912,64,593,2.1962616,be
Samir Santos,Watford,2.610810810810811,75,2254,2.6108107999999994,br
Samir Santos,Watford,2.610810810810811,75,2254,2.6108107999999994,br
Lucas Digne,Lille,3.1082802547770703,32,109,3.1082802000000003,fr
Lucas Digne,Lille,3.1082802547770703,32,109,3.1082802000000003,fr
Geny Catamo,Sporting CP,2.5446153846153847,63,2489,2.5446153,mz
Geny Catamo,Sporting CP,2.5446153846153847,63,2489,2.5446153,mz
Emerson Palmieri,Lyon,3.236196319018405,59,595,3.2361963,it
Emerson Palmieri,Lyon,3.236196319018405,59,595,3.2361963,it
Marcelo,Lyon,3.2975460122699385,59,390,3.297546,br
Marcelo,Lyon,3.2975460122699385,59,390,3.297546,br
Marcelo,Lyon,3.2975460122699385,59,390,3.297546,br
Marcelo,Lyon,3.2975460122699385,59,390,3.297546,br
Facundo Pellistri,Alavés,2.0763888888888893,0,20,2.0763887999999997,uy
Adam Ounas,Napoli,3.0618892508143323,77,1617,3.0618892000000004,dz
