,Player,Squad,Rating,user,player,rating
3111,Thomas Fontaine,Clermont Foot,1.7939698492462313,38,1292,1.7939699
5469,Stefano Okaka,Watford,1.9891891891891893,75,2247,1.9891891
6648,Rodrigo Valente,Santa Clara,2.0491803278688523,113,2681,2.0491803
4036,Mario Lemina,Marseille,2.8870967741935485,58,1656,2.887097
795,Patrick Osterhage,Bochum,2.3015873015873014,54,331,2.3015873
3020,Jonathan Ikone,Lille,2.6815286624203822,32,811,2.6815286
1711,Simone Romagnoli,Spezia,2.5213270142180093,86,738,2.521327
3387,Kayky Chagas,Manchester City,1.3311897106109325,4,1410,1.3311898
36,Tomás Mendes,Alavés,1.9305555555555556,0,13,1.9305556
4549,Kamaldeen Sulemana,Rennes,3.0625,39,1896,3.0625
913,Samuel Kalu,Watford,2.902702702702703,75,381,2.9027028
3972,Chris Wood,Brighton,1.8538812785388128,67,497,1.8538812
4133,Oier Sanjurjo,Osasuna,2.230769230769231,88,1710,2.2307692
974,Marcus Forss,Brentford,2.122340425531915,76,412,2.1223404
983,Pontus Jansson,Brentford,2.367021276595745,76,418,2.3670213
6514,Simon Banza,Braga,2.4,22,1170,2.4
1418,Antonio Rüdiger,Stuttgart,2.754385964912281,49,597,2.754386
1560,Steffen Tigges,Dortmund,2.5851063829787235,48,669,2.5851064
4135,Roberto Torres,Osasuna,3.120879120879121,88,1711,3.1208792
5458,Mato Jajalo,Udinese,2.548523206751055,40,2243,2.5485232
4265,Esteban Saveljich,Levante,1.9466019417475728,7,1766,1.946602
1355,Hugo Sotelo,Celta Vigo,1.1797235023041475,10,575,1.1797235
6404,Rochinha,Sporting CP,2.5292307692307694,63,2582,2.5292308
6548,Rúben Lima,B-SAD,2.5307692307692307,90,2644,2.5307693
987,Bryan Mbeumo,Troyes,2.7950310559006213,35,421,2.795031
2682,Jean-Daniel Akpa-Akpro,Lazio,2.452296819787986,3,1105,2.4522967
5047,Kyle Walker-Peters,Tottenham,2.9565217391304346,31,2083,2.9565217
1640,Lucas Olaza,Elche,2.905,99,710,2.905
1290,Matteo Lovato,Cagliari,2.518324607329843,81,140,2.5183246
3681,Daniel Maldini,Milan,2.279245283018868,95,1522,2.2792454
1380,Andreas Christensen,Chelsea,2.6006006006006004,19,585,2.6006007
1933,Lucas Torreira,Sampdoria,3.184357541899441,84,819,3.1843576
4675,Eliaquim Mangala,Manchester City,2.1639871382636655,4,1948,2.1639872
6562,Geovani,Famalicão,1.9615384615384615,1,2652,1.9615384
3160,Maxwel Cornet,Burnley,2.36144578313253,6,483,2.3614457
2030,Mattia Destro,Milan,2.0641509433962266,95,854,2.064151
892,Alberth Elis,Bordeaux,2.1561181434599157,94,376,2.1561182
4876,Jeremie Boga,Rennes,2.825657894736842,39,129,2.8256578
4069,Grant Hanley,Newcastle Utd,2.3604060913705585,14,1670,2.3604062
4255,Andrés Martín,Rayo Vallecano,1.8,17,1759,1.8
2,Mircea Alexandru Tirlea,Alavés,2.2291666666666665,0,1,2.2291667
2109,Hugo Duro,Valencia,2.335,9,886,2.335
849,Andreas Skov Olsen,Bologna,2.7876106194690267,66,360,2.7876105
2737,Hélder Costa,Monaco,1.5818181818181818,42,1125,1.5818182
2466,Nicolò Barella,Inter,3.3738317757009346,64,1034,3.3738317
1914,Jonathan Ikone,Fiorentina,2.631372549019608,53,811,2.6313725
1596,Obite N'Dicka,Eint Frankfurt,2.912878787878788,13,686,2.9128788
1913,Jonathan Ikone,Fiorentina,2.756862745098039,53,811,2.7568626
