Player,Nation,UrlFBref,TmPos,clubes
Dele Alli,en,https://fbref.com/en/players/cea4ee8f/Dele-Alli,Attacking Midfield,['Everton' 'MK Dons' 'Tottenham']
Dele Alli,en,https://fbref.com/en/players/cea4ee8f/Dele-Alli,Attacking Midfield,['Everton' 'MK Dons' 'Tottenham']
Miguel Almirón,py,https://fbref.com/en/players/862a1c15/Miguel-Almiron,Attacking Midfield,['Atlanta Utd' 'Lanús' 'Newcastle Utd']
Marcos Alonso,es,https://fbref.com/en/players/f4290206/Marcos-Alonso,Left-Back,['Real Madrid' 'Bolton' 'Sunderland' 'Fiorentina' 'Chelsea']
Giorgio Altare,it,https://fbref.com/en/players/aa5322d5/Giorgio-Altare,Centre-Back,['Milan' 'Cagliari']
Hugo Álvarez,es,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,midfield,['Alcorcón' 'Celta Vigo']
Yeray Álvarez,es,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,Centre-Back,['Bilbao B' 'Athletic Club']
Dani Alves,br,https://fbref.com/en/players/c9e99e49/Dani-Alves,Right-Back,['Sevilla' 'Barcelona' 'Juventus' 'Paris S-G' 'São Paulo']
Steven Alzate,co,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,Central Midfield,['Leyton Orient' 'Brighton' 'Swindon Town']
Ibrahim Amadou,fr,https://fbref.com/en/players/9260926b/Ibrahim-Amadou,Defensive Midfield,['Nancy' 'Lille' 'Sevilla' 'Norwich City' 'Leganés' 'Angers' 'Metz']
Emmanuel Amankwaa Akurugu,gh,https://fbref.com/en/players/69c5633e/Emmanuel-Amankwaa-Akurugu,Left-Back,['Getafe']
Daniel Amartey,gh,https://fbref.com/en/players/1a4ef233/Daniel-Amartey,Centre-Back,['Djurgården' 'FC Copenhagen' 'Leicester City']
Amath,sn,https://fbref.com/en/players/f3b1d9a2/Amath,Left Winger,['Atlético Madrid' 'Tenerife' 'Getafe' 'Mallorca']
Jordan Amavi,fr,https://fbref.com/en/players/22721b88/Jordan-Amavi,Left-Back,['Nice' 'Aston Villa' 'Marseille']
Jordan Amavi,fr,https://fbref.com/en/players/22721b88/Jordan-Amavi,Left-Back,['Nice' 'Aston Villa' 'Marseille']
Wisdom Amey,it,https://fbref.com/en/players/35b4bc62/Wisdom-Amey,Centre-Back,['Bologna']
Kelvin Amian,fr,https://fbref.com/en/players/bcc81786/Kelvin-Amian,Right-Back,['Spezia' 'Toulouse']
Nadiem Amiri,de,https://fbref.com/en/players/555d5edd/Nadiem-Amiri,Attacking Midfield,['Hoffenheim' 'Leverkusen' 'Genoa']
Nadiem Amiri,de,https://fbref.com/en/players/555d5edd/Nadiem-Amiri,Attacking Midfield,['Hoffenheim' 'Leverkusen' 'Genoa']
Ethan Ampadu,wl,https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,Centre-Back,['Exeter City' 'Chelsea' 'RB Leipzig' 'Sheffield Utd' 'Venezia']
Sofyan Amrabat,ma,https://fbref.com/en/players/5a2cb25d/Sofyan-Amrabat,Defensive Midfield,['Utrecht' 'Feyenoord' 'Club Brugge' 'Hellas Verona' 'Fiorentina']
Joachim Andersen,dk,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,Centre-Back,['Jong Twente' 'Twente' 'Sampdoria' 'Lyon' 'Fulham' 'Crystal Palace']
Felipe Anderson,br,https://fbref.com/en/players/9f1893b9/Felipe-Anderson,Left Winger,['Lazio' 'West Ham' 'Porto']
Sebastian Andersson,se,https://fbref.com/en/players/b4cf5806/Sebastian-Andersson,Centre-Forward,"['Ängelholm' 'Kalmar' 'Djurgården' 'Norrköping' 'Kaiserslautern'
 'Union Berlin' 'Köln']"
Florin Andone,ro,https://fbref.com/en/players/dc008610/Florin-Andone,Centre-Forward,['Córdoba' 'La Coruña' 'Brighton' 'Galatasaray' 'Cádiz']
Andrés Andrade Cedeño,pa,https://fbref.com/en/players/6ea23758/Andres-Andrade-Cedeno,Centre-Back,['LASK' 'Arminia']
Fredrik André Bjørkan,no,https://fbref.com/en/players/3724baa1/Fredrik-Andre-Bjorkan,Left-Back,['Bodø/Glimt' 'Hertha BSC']
Benjamin André,fr,https://fbref.com/en/players/ef9c1c95/Benjamin-Andre,Defensive Midfield,['Ajaccio' 'Rennes' 'Lille']
Robert Andrich,de,https://fbref.com/en/players/e0b113a7/Robert-Andrich,Central Midfield,['Dresden' 'Wehen' 'Heidenheim' 'Union Berlin' 'Leverkusen']
José Ángel,es,https://fbref.com/en/players/3024e383/Jose-Angel,Left-Back,"['Sporting Gijón' 'Roma' 'Real Sociedad' 'Porto' 'Villarreal' 'Eibar'
 'Osasuna']"
Angeliño,es,https://fbref.com/en/players/30941e96/Angelino,Left-Back,"['Manchester City' 'NYCFC' 'Mallorca' 'NAC Breda' 'PSV Eindhoven'
 'RB Leipzig']"
Ebenezer Annan,gh,https://fbref.com/en/players/39aa05a7/Ebenezer-Annan,Centre-Back,['Bologna']
Cristian Ansaldi,ar,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,Left-Back,['Rubin Kazan' 'Zenit' 'Atlético Madrid' 'Genoa' 'Inter' 'Torino']
Janis Antiste,fr,https://fbref.com/en/players/38d9ce53/Janis-Antiste,Centre-Forward,['Toulouse' 'Spezia']
Waldemar Anton,de,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,Centre-Back,['Hannover 96' 'Stuttgart']
Josep Antoni Gayá,es,https://fbref.com/en/players/4a5f2032/Josep-Antoni-Gaya,Centre-Back,['Mallorca']
Michail Antonio,jm,https://fbref.com/en/players/ac05f970/Michail-Antonio,Centre-Forward,"['Cheltenham' 'Southampton' 'Reading' 'Colchester Utd' 'Sheffield Weds'
 ""Nott'ham Forest"" 'West Ham']"
Christopher Antwi-Adjei,gh,https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,Left Winger,['Paderborn 07' 'Bochum']
Houssem Aouar,fr,https://fbref.com/en/players/a5db0bec/Houssem-Aouar,Central Midfield,['Lyon']
Adil Aouchiche,fr,https://fbref.com/en/players/b94b8be1/Adil-Aouchiche,Attacking Midfield,['Paris S-G' 'Saint-Étienne']
Dennis Appiah,fr,https://fbref.com/en/players/feb5d3ab/Dennis-Appiah,Right-Back,['Anderlecht' 'Caen' 'Monaco' 'Nantes']
Mauro Arambarri,uy,https://fbref.com/en/players/58afe001/Mauro-Arambarri,Central Midfield,['Defensor' 'Bordeaux' 'Getafe']
